Date,Item_Name,Item_Category,Customer_Type,Region,Monthly_Unit_Sales,Monthly_Sales,Avg_Unit_Price,Avg_Discount
2012-01-01,Biscuit Pack,Confectionery,Retail,East,534,70881.89,121.09,4.94
2012-01-01,Biscuit Pack,Confectionery,Retail,North,117,23560.81,209.94,4.08
2012-01-01,Biscuit Pack,Confectionery,Retail,South,307,42714.71,180.32,4.81
2012-01-01,Biscuit Pack,Confectionery,Retail,West,901,151698.81,201.42,7.22
2012-01-01,Biscuit Pack,Confectionery,Wholesale,East,768,163428.49,192.82,4.98
2012-01-01,Biscuit Pack,Confectionery,Wholesale,North,463,87480.36,152.41,11.21
2012-01-01,Biscuit Pack,Confectionery,Wholesale,South,920,86018.97,114.78,7.48
2012-01-01,Biscuit Pack,Confectionery,Wholesale,West,578,63320.67,162.89,7.17
2012-01-01,Bleach,Cleaning Essentials,Retail,East,450,50026.82,123.6,5.43
2012-01-01,Bleach,Cleaning Essentials,Retail,South,651,70458.21,126.82,8.69
2012-01-01,Bleach,Cleaning Essentials,Retail,West,618,108564.15,175.33,5.38
2012-01-01,Bleach,Cleaning Essentials,Wholesale,East,149,22153.77,194.65,7.81
2012-01-01,Bleach,Cleaning Essentials,Wholesale,North,347,19876.57,75.16,7.9
2012-01-01,Bleach,Cleaning Essentials,Wholesale,South,821,143632.44,162.71,10.28
2012-01-01,Bleach,Cleaning Essentials,Wholesale,West,190,46141.2,226.32,8.72
2012-01-01,Blush,Cosmetics,Retail,East,560,119334.04,177.93,2.12
2012-01-01,Blush,Cosmetics,Retail,North,710,64667.28,137.23,6.36
2012-01-01,Blush,Cosmetics,Retail,South,204,28747.56,154.28,8.65
2012-01-01,Blush,Cosmetics,Retail,West,677,107551.7,162.67,9.84
2012-01-01,Blush,Cosmetics,Wholesale,East,134,29465.73,252.49,12.91
2012-01-01,Blush,Cosmetics,Wholesale,North,672,55525.47,86.56,11.51
2012-01-01,Blush,Cosmetics,Wholesale,South,1113,129505.2,144.62,10.91
2012-01-01,Blush,Cosmetics,Wholesale,West,476,68253.17,154.38,5.77
2012-01-01,Candy,Confectionery,Retail,East,333,26883.42,98.96,7.24
2012-01-01,Candy,Confectionery,Retail,North,167,29991.879999999997,176.48,9.02
2012-01-01,Candy,Confectionery,Retail,South,275,41237.54,153.14,2.08
2012-01-01,Candy,Confectionery,Retail,West,1161,164236.97,155.19,6.27
2012-01-01,Candy,Confectionery,Wholesale,East,1229,171888.9,134.94,6.34
2012-01-01,Candy,Confectionery,Wholesale,North,496,106881.08,226.73,7.87
